Food,Calories,Protein,Fiber,Carbs
Apples,0.09068825910931173,0.0,0.11217948717948718,0.3028846153846154
Bacon,1.0,0.923913043478261,0.0,0.13671875
Bananas,0.09543859649122807,0.024637681159420294,0.0875,0.33541666666666664
Bread,0.41383458646616544,0.31677018633540377,1.0,1.0
Canned salmon,0.23777089783281735,0.7391304347826088,0.0,0.0
Canned tomatoes,0.03508771929824562,0.030797101449275364,0.06076388888888889,0.08203125
Carrots,0.05052631578947368,0.024637681159420294,0.0875,0.14583333333333334
Chicken,0.36656346749226004,1.0,0.0,0.0
Eggs,0.25263157894736843,0.4434782608695652,0.0,0.0
Ground beef,0.4854489164086687,1.0,0.0,0.0
Onions,0.06416040100250626,0.03519668737060042,0.1111111111111111,0.1875
Oranges,0.05614035087719298,0.04106280193236715,0.08101851851851852,0.19444444444444445
Partly skimmed milk,0.08421052631578947,0.12891809908998988,0.0,0.10174418604651163
Potatoes,0.16842105263157894,0.07391304347826087,0.07291666666666667,0.48125
Processed cheese slices,0.6255639097744361,0.8799171842650103,0.0,0.0
