"","Calories","Fiber","Protein","Carbs","Food"
"1",-0.518635310496648,-0.259924416511406,-0.87007038330822,-0.202171999165019,"Apples"
"2",-0.471911408650103,-0.265088477766599,-0.807922498786204,-0.119087615946518,"Bananas"
"3",2.6897392829661,3.17417631819227,2.11302807374853,3.08796957628762,"Bread"
"4",-0.362888971008165,-0.311565029063341,0.186443653566047,-0.501275778751622,"Canned salmon"
"5",-0.596508480240889,-0.265088477766599,-0.807922498786204,-0.33510701231462,"Carrots"
"6",-0.160418729673137,-0.311565029063341,0.559330960698141,-0.501275778751622,"Chicken"
"7",-0.727335405411215,-0.311565029063341,-0.87007038330822,-0.484658902107922,"Coffee"
"8",-0.269441167315075,-0.311565029063341,-0.124295769044031,-0.501275778751622,"Eggs"
"9",-0.487486042598951,-0.228940048980245,-0.745774614264188,-0.202171999165019,"Onions"
"10",1.31917149546745,-0.311565029063341,1.11866192139628,0.296334300145987,"Partly skimmed milk"
"11",-0.425187506803558,-0.285744722787373,-0.745774614264188,-0.135704492590218,"Potatoes"
"12",0.0109022437641937,-0.311565029063341,0.994366152352251,-0.401574518889421,"Processed cheese slices"
