"Food","w_pro_avg","spr_pro_avg","sum_pro_avg","fall_pro_avg","w_car_avg","spr_car_avg","sum_car_avg","fall_car_avg","w_fib_avg","spr_fib_avg","sum_fib_avg","fall_fib_avg"
"Apples",0,0,0,0,0,0.0301899619340083,0.0288262054782581,0.0298258429649815,0,0,0,0
"Bacon",0.0322078387597505,0.0328296612704866,0.031240447800633,0.0299675000390901,0.0322078387597505,0.00820741531762166,0.00781011195015825,0.00749187500977252,0.0322078387597505,0.0328296612704866,0.031240447800633,0.0299675000390901
"Bananas",0.00422019184134942,0.00427350427350427,0.00423789173789174,0.00416666666666667,0.00422019184134942,0.0982905982905983,0.09747150997151,0.0958333333333333,0.00422019184134942,0.00427350427350427,0.00423789173789174,0.00416666666666667
"Bread",0.0367374613080489,0.0370998887852931,0.0375810648563484,0.0371455620589607,0.0367374613080489,0.166949499533819,0.169114791853568,0.167155029265323,0.0367374613080489,0.0370998887852931,0.0375810648563484,0.0371455620589607
"Canned salmon",0.0303053030540742,0.0313893914375761,0.0304587415511971,0.0306197164809641,0.0303053030540742,0,0,0,0.0303053030540742,0.0313893914375761,0.0304587415511971,0.0306197164809641
"Canned tomatoes",0.00541701713813026,0.00533650260999254,0.00505866935721823,0.00508677382038191,0.00541701713813026,0.0240142617449664,0.022764012107482,0.0228904821917186,0.00541701713813026,0.00533650260999254,0.00505866935721823,0.00508677382038191
"Carrots",0.00285181667897717,0.00276069690845309,0.00266123156418515,0.00282539991774358,0.00285181667897717,0.0276069690845309,0.0266123156418515,0.0282539991774358,0.00285181667897717,0.00276069690845309,0.00266123156418515,0.00282539991774358
"Chicken",0.0366174763001346,0.0347522683755205,0.0339543719982373,0.0324922469857741,0.0366174763001346,0,0,0,0.0366174763001346,0.0347522683755205,0.0339543719982373,0.0324922469857741
"Eggs",0.0325099389343987,0.0318315825308459,0.0315920328605751,0.0311430388138047,0.0325099389343987,0,0,0,0.0325099389343987,0.0318315825308459,0.0315920328605751,0.0311430388138047
"Ground beef",0.0234432902218324,0.0238577025470864,0.023976968836841,0.0221709737806999,0.0234432902218324,0,0,0,0.0234432902218324,0.0238577025470864,0.023976968836841,0.0221709737806999
"Onions",0.00416558777749362,0.00413611680075713,0.00393069015271995,0.00424403611185405,0.00416558777749362,0.0372250512068141,0.0353762113744795,0.0381963250066864,0.00416558777749362,0.00413611680075713,0.00393069015271995,0.00424403611185405
"Oranges",0.00291523156983865,0.00298756522361263,0.00280424400001436,0.00276994415525063,0.00291523156983865,0.0239005217889011,0.0224339520001149,0.0221595532420051,0.00291523156983865,0.00298756522361263,0.00280424400001436,0.00276994415525063
"Partly skimmed milk",0.00603628871472887,0.00596126500067979,0.00596851713189985,0.00595767174410129,0.00603628871472887,0.00894189750101969,0.00895277569784978,0.00893650761615194,0.00603628871472887,0.00596126500067979,0.00596851713189985,0.00595767174410129
"Potatoes",0.00194896615409868,0.00192841919694868,0.00188161593070041,0.00198384052254653,0.00194896615409868,0.0212126111664354,0.0206977752377045,0.0218222457480118,0.00194896615409868,0.00192841919694868,0.00188161593070041,0.00198384052254653
"Processed cheese slices",0.049351035015384,0.0473991287484716,0.0482013233453082,0.050635988842591,0.049351035015384,0.00947982574969433,0.00964026466906165,0.0101271977685182,0.049351035015384,0.0473991287484716,0.0482013233453082,0.050635988842591
